Provider,Service Name,URL,City,Country,Status,IP Version,Hosting Provider,C Number,Airport Code,Airport Code Number,ISP Name,CDN Type,Zone Name,Region,Parent Region,Latitude,Longitude
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Ribeirao Preto,Brazil,Active,IPv4,Center Prestadora Servicos S/C Ltda,c002,RAO,1,Outcenter,ISP,,,,-21.134,-47.775
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lima,Peru,Active,IPv4,Telefonica del Peru S.A.A.,c003,LIM,5,Telefonicaperu,ISP,,,,-12.024,-77.117
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Palermo,Italy,Active,IPv4,Fiber Telecom S.p.A.,c004,PMO,1,Fibertelecomit,ISP,,,,38.173,13.088
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Billund,Denmark,Active,IPv4,,c009,BLL,1,Tdc,ISP,,,,55.736,9.148
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Campos Dos Goytacazes,Brazil,Active,IPv6,Telemar Norte Leste S.A.,c002,CAW,1,Oi,ISP,,,,-21.7,-41.303
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Toronto,Canada,Active,IPv6,BACOM,c004,YYZ,4,Bellcanada,ISP,,,,43.678,-79.63
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Sao Paulo,Brazil,Active,IPv6,CLARO S.A.,c005,CGH,2,Claro br,ISP,,,,-23.629,-46.659
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Toronto,Canada,Active,IPv6,Rogers Communications Canada Inc.,c010,YYZ,1,Rogers,ISP,,,,43.676,-79.632
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Zurich,Switzerland,Active,IPv6,Netflix Streaming Services Inc.,c038,ZRH,1,,IXP,,,,47.463,8.548
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Helsinki,Finland,Active,IPv6,Netflix Streaming Services Inc.,c042,HEL,1,,IXP,,,,60.32,24.966
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Stockholm,Sweden,Active,IPv6,Netflix Streaming Services Inc.,c090,ARN,1,,IXP,,,,59.652,17.919
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Manila,Philippines,Active,IPv4,Philippine Long Distance Telephone Company,c004,MNL,3,Pldt,ISP,,,,14.509,121.021
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Angeles City,Philippines,Active,IPv4,Converge ICT Solutions Inc.,c005,CRK,1,Convergeict,ISP,,,,15.187,120.561
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Vienna,Austria,Active,IPv4,Netflix Streaming Services Inc.,c024,VIE,1,,IXP,,,,48.111,16.57
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Coventry,United Kingdom,Active,IPv4,TalkTalk Communications Limited,c001,CVT,1,Talktalk,ISP,,,,52.374,-1.475
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Philadelphia,United States,Active,IPv4,Netflix Streaming Services Inc.,c075,PHL,1,,IXP,,,,39.871,-75.242
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Paris,France,Active,IPv4,Netflix Streaming Services Inc.,c157,CDG,1,,IXP,,,,49.01,2.547
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Curitiba,Brazil,Active,IPv4,TELEFONICA BRASIL S.A,c001,CWB,1,Telefonica br,ISP,,,,-25.525,-49.172
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Marilia,Brazil,Active,IPv4,,c001,MII,1,Cabonnetourinhos,ISP,,,,-22.201,-49.93
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Fortaleza,Brazil,Active,IPv4,TELEFONICA BRASIL S.A,c007,FOR,2,Telefonica br,ISP,,,,-3.773,-38.53
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv4,BTnet UK Regional network,c025,LHR,5,Bt,ISP,,,,51.467,-0.466
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Bangkok,Thailand,Active,IPv6,TRUE INTERNET Co.,c001,DMK,3,Trueinternet,ISP,,,,13.915,100.61
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Melbourne,Australia,Active,IPv6,Microplex PTY LTD,c002,MEL,2,Optus,ISP,,,,-37.674,144.842
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Szymany,Poland,Active,IPv6,,c002,SZY,1,Orangepl,ISP,,,,53.48,20.936
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Hagatna,Guam,Active,IPv6,Teleguam Holdings,c005,GUM,1,Gta,ISP,,,,13.48,144.793
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv6,,c005,LHR,10,Sky,ISP,,,,51.473,-0.46
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Sydney,Australia,Active,IPv6,Netflix Streaming Services Inc.,c007,SYD,2,,IXP,,,,-33.944,151.179
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Reynosa,Mexico,Active,IPv6,Uninet S.A. de C.V.,c008,REX,1,Telmex,ISP,,,,26.005,-98.232
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Atlanta,United States,Active,IPv4,Netflix Streaming Services Inc.,c011,ATL,4,,IXP,,,,33.637,-84.427
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Vancouver,Canada,Active,IPv4,Shaw Communications Inc.,c019,YVR,1,Shaw,ISP,,,,49.193,-123.185
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Belo Horizonte,Brazil,Active,IPv6,Telemar Norte Leste S.A.,c001,CNF,1,Oi,ISP,,,,-19.625,-43.973
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Araraquara,Brazil,Active,IPv4,TELEFONICA BRASIL S.A,c001,AQA,1,Telefonica br,ISP,,,,-21.809,-48.13
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Guajara-Mirim,Brazil,Active,IPv4,VIDEOSAT SERVICOS DE INFORMATICA LTDA,c001,GJM,1,Videosat,ISP,,,,-10.79,-65.288
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Florianopolis,Brazil,Active,IPv4,COMMCORP COMUNICACOES LTDA,c002,FLN,1,Brdigital br,ISP,,,,-27.667,-48.55
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Sao Luis,Brazil,Active,IPv4,PAULO DE TARSO DE CARVALHO BAYMA FILHO,c004,SLZ,1,Wiki,ISP,,,,-2.583,-44.231
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Singapore,Singapore,Active,IPv4,Netflix Streaming Services Inc.,c057,SIN,1,,IXP,,,,1.352,103.996
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Santiago,Chile,Active,IPv6,Pacifico Cable SPA.,c003,SCL,1,Mundopacifico,ISP,,,,-33.396,-70.789
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Ezeiza,Argentina,Active,IPv6,,c004,EZE,2,Telecom argentina,ISP,,,,-34.822,-58.536
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv6,BTnet UK Regional network,c005,LHR,6,Bt,ISP,,,,51.473,-0.46
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Hamilton,Canada,Active,IPv6,,c009,YHM,1,Cogeco,ISP,,,,43.176,-79.933
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv6,BTnet UK Regional network,c018,LHR,4,Bt,ISP,,,,51.469,-0.463
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Los Angeles,United States,Active,IPv6,Netflix Streaming Services Inc.,c071,LAX,9,,IXP,,,,33.946,-118.404
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,London,United Kingdom,Active,IPv4,,c001,LHR,6,Sky,ISP,,,,51.466,-0.466
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Newark,United States,Active,IPv6,Netflix Streaming Services Inc.,c085,EWR,2,,IXP,,,,40.695,-74.166
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lima,Peru,Active,IPv4,PIT PERU S.A.C,c002,LIM,1,Peruix,ISP,,,,-12.024,-77.117
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Liverpool,United Kingdom,Active,IPv4,TalkTalk Communications Limited,c002,LPL,3,Talktalk,ISP,,,,53.333,-2.851
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Lima,Peru,Active,IPv4,Telefonica del Peru S.A.A.,c003,LIM,5,Telefonicaperu,ISP,,,,-12.02,-77.113
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Brisbane,Australia,Active,IPv4,Telstra Corporation Ltd,c004,BNE,2,Telstra,ISP,,,,-27.384,153.117
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Charlottesville,United States,Active,IPv4,Shentel Communications,c004,CHO,1,Shentel,ISP,,,,38.141,-78.45
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,San Juan,Puerto Rico,Active,IPv4,DATACOM CARIBE,c007,SJU,2,Claropr,ISP,,,,18.443,-65.998
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Madrid,Spain,Active,IPv4,Netflix Streaming Services Inc.,c083,MAD,1,,IXP,,,,40.495,-3.566
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Cuiaba,Brazil,Active,IPv6,TELEFONICA BRASIL S.A,c001,CGB,2,Telefonica br,ISP,,,,-15.656,-56.12
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Salvador,Brazil,Active,IPv6,BRASILEIRO TELECOM,c001,SSA,1,Brasileirotelecom,ISP,,,,-12.908,-38.322
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Toronto,Canada,Active,IPv6,BACOM,c004,YYZ,4,Bellcanada,ISP,,,,43.676,-79.632
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Eugene,United States,Active,IPv4,Peak Internet,c001,EUG,1,Peak,ISP,,,,44.123,-123.214
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Minneapolis,United States,Active,IPv4,Airstream Communications,c005,MSP,1,Airstream,ISP,,,,44.881,-93.223
Netflix,Open Connect Appliance,https://openconnect.netflix.com/en_gb/appliances/,Atlanta,United States,Active,IPv4,Netflix Streaming Services Inc.,c010,ATL,3,,IXP,,,,33.635,-84.43
